frame_time,sean_anger,sean_contempt,sean_disgust,sean_fear,sean_happiness,sean_neutral,sean_sadness,sean_surprise,url,date
0,,,,,,,,,https://s3.amazonaws.com/100daysofspice/1_30_17/1_30_17___0.jpg,1_30_17
1,,,,,,,,,https://s3.amazonaws.com/100daysofspice/1_30_17/1_30_17___1.jpg,1_30_17
2,,,,,,,,,https://s3.amazonaws.com/100daysofspice/1_30_17/1_30_17___2.jpg,1_30_17
3,,,,,,,,,https://s3.amazonaws.com/100daysofspice/1_30_17/1_30_17___3.jpg,1_30_17
4,,,,,,,,,https://s3.amazonaws.com/100daysofspice/1_30_17/1_30_17___4.jpg,1_30_17
5,,,,,,,,,https://s3.amazonaws.com/100daysofspice/1_30_17/1_30_17___5.jpg,1_30_17
6,,,,,,,,,https://s3.amazonaws.com/100daysofspice/1_30_17/1_30_17___6.jpg,1_30_17
7,,,,,,,,,https://s3.amazonaws.com/100daysofspice/1_30_17/1_30_17___7.jpg,1_30_17
8,,,,,,,,,https://s3.amazonaws.com/100daysofspice/1_30_17/1_30_17___8.jpg,1_30_17
9,,,,,,,,,https://s3.amazonaws.com/100daysofspice/1_30_17/1_30_17___9.jpg,1_30_17
10,,,,,,,,,https://s3.amazonaws.com/100daysofspice/1_30_17/1_30_17___10.jpg,1_30_17
11,,,,,,,,,https://s3.amazonaws.com/100daysofspice/1_30_17/1_30_17___11.jpg,1_30_17
12,,,,,,,,,https://s3.amazonaws.com/100daysofspice/1_30_17/1_30_17___12.jpg,1_30_17
13,,,,,,,,,https://s3.amazonaws.com/100daysofspice/1_30_17/1_30_17___13.jpg,1_30_17
14,,,,,,,,,https://s3.amazonaws.com/100daysofspice/1_30_17/1_30_17___14.jpg,1_30_17
15,,,,,,,,,https://s3.amazonaws.com/100daysofspice/1_30_17/1_30_17___15.jpg,1_30_17
16,,,,,,,,,https://s3.amazonaws.com/100daysofspice/1_30_17/1_30_17___16.jpg,1_30_17
17,,,,,,,,,https://s3.amazonaws.com/100daysofspice/1_30_17/1_30_17___17.jpg,1_30_17
