frame_time,sean_anger,sean_contempt,sean_disgust,sean_fear,sean_happiness,sean_neutral,sean_sadness,sean_surprise,url
38,0.0216164012,0.0002802486,0.008263146,0.000260386732,4.596947e-06,0.635520458,0.33225283,0.00180192781,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___38.jpg
39,0.004357986,9.19628e-05,0.000419904973,7.22811728e-06,1.15597709e-06,0.630271852,0.364777178,7.272886e-05,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___39.jpg
40,0.0183438268,0.0001073765,0.000779395865,2.80543554e-05,1.96911651e-06,0.8276376,0.1527726,0.000329166418,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___40.jpg
41,0.296096444,0.009067596,0.0418792255,0.000223034425,0.000800392241,0.611430347,0.002312121,0.038190823,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___41.jpg
42,0.006922494,0.00134281116,0.00961646,0.000130516317,7.975108e-05,0.7650688,0.2137469,0.00309222168,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___42.jpg
43,0.0204279032,0.000196167719,0.00374784181,0.000153527755,2.409302e-05,0.6978765,0.276613265,0.0009607014,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___43.jpg
44,0.00368716056,6.552302e-05,0.000863636553,7.76087e-07,2.97578322e-06,0.593335867,0.4020405,3.53429527e-06,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___44.jpg
45,0.0343269259,0.00337453163,0.0303589422,0.002523407,0.0002384344,0.73928237,0.12370953,0.06618588,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___45.jpg
46,0.126773342,0.00579864858,0.0637407154,0.0008285322,9.600803e-05,0.667897344,0.0141172484,0.120748177,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___46.jpg
47,0.060911987,0.008481009,0.0169290751,0.0001911345,0.000160499214,0.891149,0.0070642326,0.0151130939,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___47.jpg
48,0.012953585,0.00100447878,0.006847491,0.000154886467,0.00013615888,0.861094534,0.11471016,0.00309869,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___48.jpg
49,0.2107525,0.0121297035,0.133889,0.09850063,0.00647183135,0.253781974,0.23712869,0.04734568,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___49.jpg
50,0.007235988,0.000200697017,0.0032108766,3.4309156e-05,9.293146e-06,0.8196095,0.168889046,0.0008102697,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___50.jpg
51,0.0111023914,0.000263314258,0.00131898676,1.17300015e-05,2.02969477e-05,0.7868279,0.200374439,8.093986e-05,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___51.jpg
52,0.00196373742,5.51797857e-05,0.000221548573,9.48616957e-07,2.138357e-06,0.751335263,0.246410072,1.11243371e-05,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___52.jpg
53,0.0202440917,0.00581110269,0.00215066387,8.322261e-06,3.04809018e-05,0.9679581,0.00303223985,0.000764990458,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___53.jpg
54,0.0111863967,0.000181641881,0.00153689564,6.456795e-05,4.495821e-06,0.746454239,0.239979029,0.0005927171,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___54.jpg
55,0.151472047,0.0119796544,0.0324470848,0.002804452,0.000305851951,0.743882656,0.019296024,0.03781222,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___55.jpg
56,0.0291665476,0.00286960881,0.0340026058,0.000137469309,0.000126105384,0.757601738,0.008437516,0.1676584,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___56.jpg
57,0.0234963335,0.003075219,0.00147542462,1.16377241e-05,6.66493224e-06,0.96423614,0.00673032273,0.0009682551,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___57.jpg
58,0.05837489,0.00228475221,0.0257924758,0.000294178084,1.5475116e-05,0.8563047,0.009688704,0.0472448058,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___58.jpg
59,0.06681805,0.001484691,0.028980501,0.000415217131,6.16087855e-05,0.802617967,0.06330666,0.0363152847,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___59.jpg
60,0.0106754517,3.476945e-05,0.000354269781,5.021622e-06,1.1363747e-05,0.846253753,0.142624721,4.065457e-05,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___60.jpg
61,0.06789411,0.0020238203,0.0175015219,0.00160621759,3.18698731e-05,0.7494677,0.152798176,0.008676607,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___61.jpg
62,0.0596540421,0.00239071716,0.030102225,0.00106058491,8.929313e-05,0.7099625,0.18591015,0.0108305085,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___62.jpg
63,0.362838924,0.00542166,0.0353023522,0.000103827027,0.000343937252,0.5692443,0.001148436,0.02559652,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___63.jpg
64,0.000174806235,1.72925775e-06,1.24723329e-05,6.916684e-09,7.98174e-07,0.396049559,0.6037606,1.56940239e-08,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___64.jpg
65,0.005480986,0.000177336333,0.00117333909,3.499714e-05,7.420039e-05,0.747082949,0.245867744,0.000108435786,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___65.jpg
66,0.006675583,0.000287732575,0.0007808146,5.748867e-06,4.377747e-06,0.6973503,0.294856,3.94404378e-05,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___66.jpg
67,0.05562988,0.00158218655,0.0190763436,0.000251555437,2.50263656e-05,0.735575736,0.182421625,0.00543767,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___67.jpg
68,0.0009490639,2.434618e-05,0.000137357914,2.10102985e-06,2.95948321e-05,0.836425,0.162427887,4.65391167e-06,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___68.jpg
69,0.0244922824,0.00383654982,0.0131931417,0.00229176949,0.000339802384,0.8432361,0.07454847,0.03806191,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___69.jpg
70,0.0953774452,0.000189835686,0.00193298073,3.006256e-05,1.71179511e-06,0.682678938,0.219718933,7.008431e-05,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___70.jpg
71,0.179567128,0.00209029834,0.028773075,0.00191849668,5.912404e-06,0.561352551,0.22456041,0.00173211517,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___71.jpg
72,0.0396302268,0.00142977654,0.0114428,0.000218862217,2.70201926e-05,0.8206614,0.1196986,0.0068912995,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___72.jpg
73,0.152639255,0.014461996,0.09054148,0.00135130971,0.000336225174,0.6938952,0.0249690562,0.0218054764,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___73.jpg
74,0.0412168838,0.0045938,0.0184911154,0.0011288973,0.0012657491,0.852529466,0.05965648,0.0211176183,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___74.jpg
75,0.003062905,4.57908282e-05,0.000370837632,1.20013619e-05,1.62838369e-05,0.714735031,0.281689465,6.766903e-05,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___75.jpg
76,0.01156133,0.000125339284,0.0017570873,2.69773682e-05,5.672945e-06,0.7717005,0.214329466,0.0004936215,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___76.jpg
77,0.004349287,0.00146682863,0.004808945,0.000165879246,0.000184658187,0.8205286,0.164846241,0.00364951766,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___77.jpg
78,0.09790858,0.000835118,0.0137570146,0.0007512461,2.97295337e-05,0.66781193,0.21503897,0.00386741362,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___78.jpg
79,0.06960563,0.00108676893,0.02308163,0.0003748373,6.719963e-05,0.7227739,0.179307833,0.0037021623,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___79.jpg
