frame_time,sean_anger,sean_contempt,sean_disgust,sean_fear,sean_happiness,sean_neutral,sean_sadness,sean_surprise,url
0,0.000806489435,0.00018519508,0.00109735387,7.796594e-06,0.9781244,0.0180057362,0.00102075515,0.000752304564,https://s3.amazonaws.com/100daysofspice/3_28_17/3_28_17___0.jpg
1,0.00404190226,0.008700537,0.0040405686,0.00021939099,0.4984495,0.46976313,0.003485843,0.0112991193,https://s3.amazonaws.com/100daysofspice/3_28_17/3_28_17___1.jpg
2,0.00301495055,0.006287401,0.003321146,0.000216418382,0.0384187028,0.9227487,0.0199773759,0.00601532124,https://s3.amazonaws.com/100daysofspice/3_28_17/3_28_17___2.jpg
3,0.0470952429,0.009602698,0.0209937915,7.097304e-05,0.00243360782,0.8978373,0.0006126342,0.0213537812,https://s3.amazonaws.com/100daysofspice/3_28_17/3_28_17___3.jpg
4,0.0113363247,0.00161377154,0.0116328262,0.0004103934,0.000232624676,0.845314,0.124690957,0.00476909662,https://s3.amazonaws.com/100daysofspice/3_28_17/3_28_17___4.jpg
5,0.00114841689,0.000431251479,0.0004242102,1.97027766e-05,7.248956e-05,0.840702,0.157005772,0.0001961396,https://s3.amazonaws.com/100daysofspice/3_28_17/3_28_17___5.jpg
6,0.00485231774,0.000286231167,0.00136242108,5.52069e-05,2.7768403e-05,0.775153458,0.2176296,0.000633002433,https://s3.amazonaws.com/100daysofspice/3_28_17/3_28_17___6.jpg
7,0.00506064761,0.0001390193,0.0009288673,8.601349e-06,1.34999827e-05,0.6850603,0.308754683,3.437663e-05,https://s3.amazonaws.com/100daysofspice/3_28_17/3_28_17___7.jpg
8,0.09598327,0.004065674,0.02638737,0.00163969281,6.542933e-05,0.7298941,0.129883185,0.0120812831,https://s3.amazonaws.com/100daysofspice/3_28_17/3_28_17___8.jpg
9,0.003448291,0.0001408392,0.000158962866,6.407807e-07,1.45211413e-06,0.7816681,0.214575127,6.5397785e-06,https://s3.amazonaws.com/100daysofspice/3_28_17/3_28_17___9.jpg
10,0.00441900035,0.000368656038,0.000289735879,9.795549e-07,6.948977e-06,0.559560955,0.435350746,2.98708778e-06,https://s3.amazonaws.com/100daysofspice/3_28_17/3_28_17___10.jpg
11,0.0538367853,0.00246898341,0.0214120578,0.00105270674,4.276962e-05,0.813366055,0.0785874352,0.0292332266,https://s3.amazonaws.com/100daysofspice/3_28_17/3_28_17___11.jpg
12,0.0114317462,0.000346231245,0.006268532,0.000238320761,4.799897e-05,0.64104706,0.339778632,0.000841506058,https://s3.amazonaws.com/100daysofspice/3_28_17/3_28_17___12.jpg
13,0.06388651,0.00223146635,0.0279563274,0.0002618104,0.000226325341,0.825980961,0.00483301654,0.0746236145,https://s3.amazonaws.com/100daysofspice/3_28_17/3_28_17___13.jpg
14,0.000759228133,0.000246875337,0.000249898381,1.500352e-06,4.57523529e-05,0.881952763,0.116709515,3.4468696e-05,https://s3.amazonaws.com/100daysofspice/3_28_17/3_28_17___14.jpg
15,0.0079248,0.000327525369,0.003595861,9.845375e-05,2.55921423e-05,0.8095002,0.176732123,0.00179542112,https://s3.amazonaws.com/100daysofspice/3_28_17/3_28_17___15.jpg
16,0.00366233638,5.22203e-05,0.00018788653,1.341501e-06,2.05860988e-06,0.8731139,0.122948028,3.22299129e-05,https://s3.amazonaws.com/100daysofspice/3_28_17/3_28_17___16.jpg
17,0.00684943656,0.0008038711,0.000499604444,7.07451045e-06,6.49984031e-06,0.8232229,0.168557048,5.35973559e-05,https://s3.amazonaws.com/100daysofspice/3_28_17/3_28_17___17.jpg
18,0.00541716348,0.000145753918,0.00105239486,1.75801961e-05,2.35630159e-06,0.6662209,0.327003658,0.000140204938,https://s3.amazonaws.com/100daysofspice/3_28_17/3_28_17___18.jpg
19,0.0100579821,6.588458e-05,0.000153889079,1.17731986e-06,6.652574e-07,0.7535315,0.236185715,3.154237e-06,https://s3.amazonaws.com/100daysofspice/3_28_17/3_28_17___19.jpg
20,0.0006486445,9.216245e-05,5.981623e-05,3.921673e-07,4.50368952e-06,0.8652959,0.133893356,5.23099243e-06,https://s3.amazonaws.com/100daysofspice/3_28_17/3_28_17___20.jpg
21,0.104662716,0.00277552824,0.0291358568,0.00294263125,4.05349456e-05,0.6662294,0.0113521544,0.182861179,https://s3.amazonaws.com/100daysofspice/3_28_17/3_28_17___21.jpg
22,0.0033386508,0.0004169743,0.002540992,0.000138011688,0.00013216096,0.78098,0.211112,0.00134121208,https://s3.amazonaws.com/100daysofspice/3_28_17/3_28_17___22.jpg
23,0.0323930047,0.000894397,0.0169273876,0.000484372926,5.44817158e-05,0.804770052,0.137514979,0.00696131727,https://s3.amazonaws.com/100daysofspice/3_28_17/3_28_17___23.jpg
