frame_time,sean_anger,sean_contempt,sean_disgust,sean_fear,sean_happiness,sean_neutral,sean_sadness,sean_surprise,url
0,0.005504177,0.0008935256,0.00283632474,4.801955e-05,0.890492558,0.08789626,0.0109099178,0.00141920755,https://s3.amazonaws.com/100daysofspice/1_31_17/1_31_17___0.jpg
1,0.007708716,0.00285616936,0.00356717245,5.64275979e-05,0.943166733,0.0301048383,0.0101418393,0.00239808136,https://s3.amazonaws.com/100daysofspice/1_31_17/1_31_17___1.jpg
2,0.0126003912,0.07986852,0.0221520942,0.000267539028,0.426959634,0.405314237,0.0492319949,0.00360559253,https://s3.amazonaws.com/100daysofspice/1_31_17/1_31_17___2.jpg
3,0.0255011357,0.03374011,0.0427023955,0.0007675677,0.173726022,0.6615141,0.05015515,0.01189351,https://s3.amazonaws.com/100daysofspice/1_31_17/1_31_17___3.jpg
4,0.00722857332,0.00217709062,0.004056131,0.000126239756,0.008898194,0.8488611,0.127755791,0.0008968586,https://s3.amazonaws.com/100daysofspice/1_31_17/1_31_17___4.jpg
5,0.02532071,0.00194222922,0.01816641,9.23348343e-05,0.000140613993,0.721241832,0.2321932,0.0009026444,https://s3.amazonaws.com/100daysofspice/1_31_17/1_31_17___5.jpg
6,0.11784061,0.00652494375,0.00705921836,0.00115427421,0.0004239758,0.816342533,0.008071066,0.0425833762,https://s3.amazonaws.com/100daysofspice/1_31_17/1_31_17___6.jpg
7,0.0135159409,0.0130689153,0.00496028736,1.34270422e-05,0.00296361255,0.9630985,0.00061989727,0.00175941072,https://s3.amazonaws.com/100daysofspice/1_31_17/1_31_17___7.jpg
8,0.08856321,0.011121857,0.038271457,0.0001234495,0.00154213386,0.8322565,0.00461944239,0.0235019214,https://s3.amazonaws.com/100daysofspice/1_31_17/1_31_17___8.jpg
9,0.0350566655,0.000916345045,0.0155880377,0.000195135726,0.000313250115,0.8793654,0.0613893345,0.00717582274,https://s3.amazonaws.com/100daysofspice/1_31_17/1_31_17___9.jpg
10,0.0169474725,0.00158984109,0.005633569,7.9815276e-05,7.967428e-05,0.7165337,0.258796543,0.000339376536,https://s3.amazonaws.com/100daysofspice/1_31_17/1_31_17___10.jpg
11,0.020224819,0.00105327344,0.0114111667,0.000190836625,0.000202044015,0.9259394,0.0206345171,0.0203439426,https://s3.amazonaws.com/100daysofspice/1_31_17/1_31_17___11.jpg
12,0.127194673,0.00645501353,0.04788336,0.0005753033,0.0024688507,0.5517076,0.003658624,0.260056555,https://s3.amazonaws.com/100daysofspice/1_31_17/1_31_17___12.jpg
13,0.03008967,0.000685601262,0.00978594553,0.00112443045,5.850938e-05,0.8563256,0.008241142,0.0936890543,https://s3.amazonaws.com/100daysofspice/1_31_17/1_31_17___13.jpg
14,0.07103887,0.00561284274,0.009648215,0.000135906143,0.000144490157,0.8965099,0.005538148,0.01137164,https://s3.amazonaws.com/100daysofspice/1_31_17/1_31_17___14.jpg
15,0.0204025619,0.00435778545,0.008761686,1.80785883e-05,0.0005302843,0.955951631,0.00246006716,0.00751791149,https://s3.amazonaws.com/100daysofspice/1_31_17/1_31_17___15.jpg
16,0.04680036,0.00654816348,0.0174013246,0.0002924982,0.00223894,0.8749819,0.00381422462,0.04792258,https://s3.amazonaws.com/100daysofspice/1_31_17/1_31_17___16.jpg
17,0.007875311,0.000484026823,0.00444308855,2.391243e-05,0.000195755958,0.888840258,0.0975482,0.0005894447,https://s3.amazonaws.com/100daysofspice/1_31_17/1_31_17___17.jpg
