frame_time,sean_anger,sean_contempt,sean_disgust,sean_fear,sean_happiness,sean_neutral,sean_sadness,sean_surprise,url,data
0,,,,,,,,,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___0.jpg,2_27_17
1,,,,,,,,,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___1.jpg,2_27_17
2,,,,,,,,,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___2.jpg,2_27_17
3,,,,,,,,,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___3.jpg,2_27_17
4,,,,,,,,,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___4.jpg,2_27_17
5,,,,,,,,,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___5.jpg,2_27_17
6,0.001348956,0.009784123,0.001272668,5.38E-05,0.813742638,0.1649807,0.004352403,0.004464703,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___6.jpg,2_27_17
7,0.006914306,0.010523559,0.006826144,0.000546145,0.5313963,0.406139016,0.03095454,0.006699964,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___7.jpg,2_27_17
8,0.04642361,0.020448033,0.026499778,0.00291013,0.16226466,0.6930869,0.03770162,0.010665269,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___8.jpg,2_27_17
9,0.003724182,0.006373187,0.001100849,9.61E-06,0.000493886,0.9821818,0.005893379,0.000223138,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___9.jpg,2_27_17
10,,,,,,,,,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___10.jpg,2_27_17
11,0.00884419,0.000382921,0.000425766,1.65E-06,3.55E-06,0.8074806,0.1828466,1.47E-05,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___11.jpg,2_27_17
12,0.001620177,0.000349081,0.000346082,1.47E-06,4.62E-05,0.901064038,0.096555576,1.74E-05,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___12.jpg,2_27_17
13,0.102544427,0.006512674,0.013937711,5.46E-05,0.002917218,0.839277565,0.000584013,0.034171812,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___13.jpg,2_27_17
14,0.004156897,0.000375432,0.001009743,1.61E-05,0.000473767,0.964642942,0.028363518,0.000961598,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___14.jpg,2_27_17
15,0.003215859,0.00041342,0.000453469,1.01E-05,0.000225147,0.955657065,0.039620854,0.000404146,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___15.jpg,2_27_17
16,0.308558464,0.010576561,0.06856851,0.00095766,0.000270754,0.5707875,0.005916888,0.034363683,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___16.jpg,2_27_17
17,0.007978322,0.00469408,0.010464618,0.000390893,0.00231883,0.916068,0.01499535,0.043089908,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___17.jpg,2_27_17
18,0.011825139,0.005892729,0.003302975,0.000130129,0.001043915,0.964203238,0.002880816,0.01072107,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___18.jpg,2_27_17
19,0.120455869,0.000566988,0.027123475,4.28E-05,0.000225978,0.6653344,0.001513409,0.184737131,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___19.jpg,2_27_17
20,0.033499524,0.001415244,0.011287661,0.003972099,5.72E-05,0.802210152,0.017998384,0.1295597,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___20.jpg,2_27_17
21,0.01254012,0.000920436,0.00190831,0.000411551,9.86E-06,0.952159643,0.008471744,0.023578338,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___21.jpg,2_27_17
22,0.100183815,0.006340906,0.050031584,0.000272781,0.000759327,0.7841572,0.007403894,0.050850492,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___22.jpg,2_27_17
23,0.105983563,0.01096704,0.03184687,6.42E-05,0.000756794,0.7899383,0.006047518,0.0543957,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___23.jpg,2_27_17
24,0.031097233,0.002063449,0.01421464,0.002649539,0.000376658,0.8549261,0.038968902,0.055703487,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___24.jpg,2_27_17
25,0.006119589,0.015156835,0.007243224,3.17E-05,0.02236577,0.9433801,0.002890775,0.00281202,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___25.jpg,2_27_17
26,0.000394317,0.066463955,0.001353312,2.96E-06,0.5104244,0.415377527,0.000171839,0.005811683,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___26.jpg,2_27_17
27,0.011600847,0.016469019,0.016801434,0.000381362,0.019730978,0.895414054,0.027795196,0.011807123,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___27.jpg,2_27_17
28,0.045570277,0.001884138,0.040379267,0.007757175,0.011180147,0.6120233,0.208194688,0.07301104,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___28.jpg,2_27_17
29,,,,,,,,,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___29.jpg,2_27_17
30,0.010319501,0.0024147,0.001658145,0.000353174,0.070843205,0.890813231,0.0188048,0.004793223,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___30.jpg,2_27_17
31,0.001935008,0.000675983,0.000968578,4.83E-05,0.013131692,0.9313727,0.050740168,0.001127505,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___31.jpg,2_27_17
32,0.002207723,0.019398984,0.00138071,0.000238164,0.6241695,0.3424686,0.003772752,0.006363542,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___32.jpg,2_27_17
33,0.023745757,0.028414585,0.002768267,0.0015742,0.005444446,0.8308767,0.001845316,0.105330721,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___33.jpg,2_27_17
34,0.008461392,0.026313445,0.003054511,0.000687871,0.069018684,0.867791951,0.00275149,0.021920636,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___34.jpg,2_27_17
35,,,,,,,,,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___35.jpg,2_27_17
36,0.003572945,0.000155423,0.000138291,1.20E-05,5.06E-05,0.9910378,0.000823617,0.004209348,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___36.jpg,2_27_17
37,0.004298548,0.002149421,0.000826645,1.11E-05,0.000424411,0.976146042,0.015665555,0.000478317,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___37.jpg,2_27_17
38,0.004233518,0.013008816,0.003765872,0.001251472,0.005945422,0.9333681,0.003688799,0.03473801,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___38.jpg,2_27_17
39,3.71E-05,9.56E-06,3.04E-05,1.38E-06,0.997959256,0.001200042,3.26E-06,0.000758967,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___39.jpg,2_27_17
40,0.017034823,0.010717622,0.005869211,0.001457291,0.2333269,0.636317849,0.002897189,0.09237912,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___40.jpg,2_27_17
41,0.00725358,0.008037906,0.00521599,7.85E-05,0.028972264,0.936814845,0.010954804,0.002672107,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___41.jpg,2_27_17
42,0.0258,0.000719562,0.002139614,0.000391689,0.001220897,0.698365748,0.002090487,0.26927197,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___42.jpg,2_27_17
43,0.015116558,0.002270291,0.002494711,0.000761999,0.003906174,0.816613436,0.002385511,0.156451315,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___43.jpg,2_27_17
44,0.007573766,0.00744536,0.009210274,3.13E-05,0.014696136,0.9431324,0.017397787,0.000512925,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___44.jpg,2_27_17
45,0.004119766,0.007489579,0.002675057,0.000669941,0.011280716,0.95343405,0.003211363,0.017119523,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___45.jpg,2_27_17
46,0.007008573,0.014384115,0.00929464,0.000266514,0.4022947,0.5601899,0.004846204,0.001715385,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___46.jpg,2_27_17
47,0.002482593,0.003662518,0.001115846,3.24E-05,0.001348807,0.973287,0.016788207,0.001282694,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___47.jpg,2_27_17
48,0.011112607,0.003641017,0.004662171,0.000396274,0.006781453,0.888262868,0.002284498,0.08285914,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___48.jpg,2_27_17
49,0.010628452,0.006229254,0.010391356,0.000762269,0.004806759,0.8516834,0.005657296,0.10984125,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___49.jpg,2_27_17
50,0.003304033,0.00520735,0.001893305,7.67E-05,0.001486752,0.9839996,0.001841397,0.002190904,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___50.jpg,2_27_17
51,0.022100303,0.027407756,0.026372038,0.000876796,0.399383932,0.480291128,0.04099567,0.00257236,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___51.jpg,2_27_17
52,0.001740444,0.014988558,0.001442956,9.87E-06,0.00794715,0.96699053,0.005640115,0.001240357,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___52.jpg,2_27_17
53,0.010345068,0.005754675,0.001072946,0.000376883,0.001502232,0.941289842,0.003516129,0.036142252,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___53.jpg,2_27_17
54,0.001315188,0.006936255,0.000921467,1.34E-06,0.001262468,0.9851283,0.004127963,0.00030702,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___54.jpg,2_27_17
55,0.026620204,0.014396655,0.019977372,0.000947805,0.053747118,0.8541308,0.017310603,0.012869461,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___55.jpg,2_27_17
56,0.004401736,0.002597938,0.001982393,9.05E-05,0.001929904,0.962956369,0.02439375,0.001647422,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___56.jpg,2_27_17
57,0.003052373,0.001197955,0.000726861,0.000200393,0.000543674,0.959902644,0.003512459,0.030863615,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___57.jpg,2_27_17
58,0.002751036,0.011403715,0.004263521,0.000138398,0.16625151,0.804030657,0.007804743,0.003356442,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___58.jpg,2_27_17
59,0.03323251,0.02277909,0.019552974,0.000785486,0.042171355,0.8623726,0.005218655,0.01388734,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___59.jpg,2_27_17
60,0.018787013,0.009559928,0.005965273,0.002446015,0.003768484,0.9343274,0.002477932,0.022667948,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___60.jpg,2_27_17
61,0.006960255,0.001496295,0.001470447,0.003354355,0.002499963,0.777836263,0.003819729,0.20256269,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___61.jpg,2_27_17
62,0.040058013,0.00716858,0.019603502,0.001832511,0.002802599,0.8897177,0.002864058,0.035953037,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___62.jpg,2_27_17
63,0.00624536,0.00405956,0.003681159,0.000156618,0.018661872,0.945731342,0.018879348,0.002584746,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___63.jpg,2_27_17
64,0.00272777,0.004637199,0.002515589,0.00021843,0.011106743,0.954584539,0.006003392,0.018206311,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___64.jpg,2_27_17
65,1.05E-05,7.99E-06,2.42E-06,8.48E-08,0.9999476,2.80E-05,6.87E-07,2.70E-06,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___65.jpg,2_27_17
66,0.003009946,0.012688648,0.00563785,3.94E-05,0.022511499,0.94083035,0.014611497,0.00067086,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___66.jpg,2_27_17
67,0.002406024,0.002875657,0.000817777,0.000171852,0.004701476,0.923229754,0.000820159,0.0649773,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___67.jpg,2_27_17
68,0.006088371,0.008300116,0.006539486,0.000142967,0.033679746,0.93452704,0.008115742,0.002606515,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___68.jpg,2_27_17
69,0.002770771,0.024329556,0.004042732,0.000518584,0.03175403,0.924556136,0.005641321,0.006386878,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___69.jpg,2_27_17
70,0.004493503,0.007027778,0.003233834,0.000299793,0.028716201,0.9326601,0.018863155,0.004705636,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___70.jpg,2_27_17
71,0.001574394,0.007266211,0.00264262,4.90E-05,0.098115936,0.863042831,0.026539588,0.000769422,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___71.jpg,2_27_17
72,0.007446116,0.006453978,0.002704722,0.000677379,0.6115856,0.283656627,0.001665885,0.085809656,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___72.jpg,2_27_17
73,0.005410655,0.008695536,0.003271183,0.000107028,0.161642432,0.8087793,0.008886596,0.003207261,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___73.jpg,2_27_17
74,0.00150786,0.013926189,0.001620564,4.16E-05,0.171732187,0.7974527,0.013349775,0.000369149,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___74.jpg,2_27_17
75,0.000636086,0.004479398,0.002255263,1.69E-05,0.8469115,0.139135808,0.006506221,5.89E-05,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___75.jpg,2_27_17
76,0.004171832,0.027053313,0.005720142,0.001127505,0.063487105,0.8380622,0.057239596,0.003138286,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___76.jpg,2_27_17
77,0.001324107,0.005391199,0.001246405,0.000234456,0.017535083,0.937357247,0.035150208,0.001761309,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___77.jpg,2_27_17
78,0.001993389,0.003096126,0.001161105,7.12E-05,0.09841171,0.852412462,0.041824654,0.001029326,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___78.jpg,2_27_17
79,0.010228666,0.007296781,0.011281833,0.000131112,0.018966522,0.917609036,0.033665113,0.000820929,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___79.jpg,2_27_17
80,0.008486029,0.011013379,0.010103207,0.000128067,0.004707205,0.95023334,0.009303881,0.006024868,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___80.jpg,2_27_17
81,0.00596776,0.005154658,0.012320439,0.000490453,0.014126356,0.945923746,0.011570483,0.004446123,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___81.jpg,2_27_17
82,0.00304251,0.002453045,0.000868595,3.93E-05,0.001487501,0.9816765,0.00925666,0.001175911,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___82.jpg,2_27_17
83,0.003800687,0.003607437,0.002122643,2.31E-05,0.005815414,0.9744727,0.00960283,0.000555128,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___83.jpg,2_27_17
84,0.000866303,0.004831966,0.001222289,2.38E-05,0.038313687,0.9443269,0.009346799,0.001068308,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___84.jpg,2_27_17
85,0.002201036,0.021287013,0.002995648,0.001130129,0.056980696,0.851674259,0.05676997,0.006961233,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___85.jpg,2_27_17
86,0.007161325,0.005001752,0.00541947,0.000256616,0.01969976,0.9228761,0.037761312,0.001823673,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___86.jpg,2_27_17
87,0.006257344,0.003464546,0.007723333,9.26E-05,0.000619342,0.964559,0.012251857,0.005031966,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___87.jpg,2_27_17
88,0.001940169,0.006425831,0.001675788,7.69E-05,0.001038534,0.9770743,0.007822515,0.003945911,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___88.jpg,2_27_17
89,0.010335589,0.013418775,0.006355238,0.000608725,0.049301002,0.9046572,0.008638714,0.006684763,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___89.jpg,2_27_17
90,0.004325706,0.00148572,0.000791967,0.001974674,0.0010524,0.8583632,0.007200636,0.124805681,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___90.jpg,2_27_17
91,0.002686624,0.042551808,0.00219662,0.000258244,0.067486964,0.8711614,0.004494257,0.009164071,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___91.jpg,2_27_17
92,0.022778502,0.012111954,0.00742909,0.000607157,0.00857762,0.8884871,0.00141733,0.058591235,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___92.jpg,2_27_17
93,0.000854523,0.002425269,0.000270261,8.48E-06,0.001222623,0.989523351,0.0043982,0.001297274,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___93.jpg,2_27_17
94,0.011263592,0.011714717,0.005925044,0.000583114,0.3263505,0.6255708,0.014001146,0.004591121,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___94.jpg,2_27_17
95,0.003850204,0.000985751,0.000656032,0.001202815,0.001791968,0.8696385,0.00473632,0.117138386,https://s3.amazonaws.com/100daysofspice/2_27_17/2_27_17___95.jpg,2_27_17
