frame_time,sean_anger,sean_contempt,sean_disgust,sean_fear,sean_happiness,sean_neutral,sean_sadness,sean_surprise,url,data
0,0.00141423254,7.453416e-05,0.0003485208,3.823808e-06,8.699872e-06,0.957015753,0.04069445,0.000439968659,https://s3.amazonaws.com/100daysofspice/4_3_17/4_3_17___0.jpg,4_3_17
1,0.007866687,0.00183928967,0.0029109465,0.0005792563,0.003964902,0.9569007,0.0124846343,0.013453587,https://s3.amazonaws.com/100daysofspice/4_3_17/4_3_17___1.jpg,4_3_17
2,0.08698939,0.01286685,0.0535135455,0.000158311668,0.00458354,0.822487533,0.00480772,0.0145931,https://s3.amazonaws.com/100daysofspice/4_3_17/4_3_17___2.jpg,4_3_17
3,0.0146586886,0.00142734521,0.00511749974,0.00112090143,0.0005895587,0.937687337,0.0289878,0.0104108462,https://s3.amazonaws.com/100daysofspice/4_3_17/4_3_17___3.jpg,4_3_17
4,0.00768588856,0.0116775651,0.000409443834,0.000243019516,0.00118301727,0.9584611,0.0197658669,0.000574081,https://s3.amazonaws.com/100daysofspice/4_3_17/4_3_17___4.jpg,4_3_17
5,0.00355311157,0.00194024935,0.00116960192,7.503269e-06,0.00110370468,0.985371947,0.006783292,7.057848e-05,https://s3.amazonaws.com/100daysofspice/4_3_17/4_3_17___5.jpg,4_3_17
6,0.00463954173,0.000409064785,0.000426695944,0.000280416949,0.00642916467,0.9784915,0.0040673255,0.00525627658,https://s3.amazonaws.com/100daysofspice/4_3_17/4_3_17___6.jpg,4_3_17
7,0.00167752639,0.000189179962,0.00029628686,8.52818744e-07,8.496175e-06,0.877783239,0.120026641,1.77560141e-05,https://s3.amazonaws.com/100daysofspice/4_3_17/4_3_17___7.jpg,4_3_17
8,0.00168117753,0.0008079543,0.0004004343,2.72504167e-05,0.0009157365,0.932292759,0.06377246,0.00010223181,https://s3.amazonaws.com/100daysofspice/4_3_17/4_3_17___8.jpg,4_3_17
9,0.00633618375,0.0004778838,0.00149245933,9.723253e-05,0.000147310275,0.905823052,0.08420334,0.00142255088,https://s3.amazonaws.com/100daysofspice/4_3_17/4_3_17___9.jpg,4_3_17
10,0.0473759547,0.00252563925,0.0369962156,0.009420705,5.7252757e-05,0.7152263,0.12993291,0.05846502,https://s3.amazonaws.com/100daysofspice/4_3_17/4_3_17___10.jpg,4_3_17
11,0.106559537,0.005962398,0.07353264,0.000334741169,0.000101463658,0.7141074,0.00396789471,0.09543394,https://s3.amazonaws.com/100daysofspice/4_3_17/4_3_17___11.jpg,4_3_17
12,0.02164279,0.011526254,0.00270057074,0.000142053454,0.00024128829,0.944486,0.0181022938,0.00115873944,https://s3.amazonaws.com/100daysofspice/4_3_17/4_3_17___12.jpg,4_3_17
13,0.0409298278,0.008850422,0.0288335662,0.000155875372,0.0006747653,0.8860759,0.005624721,0.0288548842,https://s3.amazonaws.com/100daysofspice/4_3_17/4_3_17___13.jpg,4_3_17
14,0.122354947,0.002899282,0.0331008472,8.79023646e-05,0.0002329395,0.7193312,0.00126150448,0.120731384,https://s3.amazonaws.com/100daysofspice/4_3_17/4_3_17___14.jpg,4_3_17
15,0.0386889726,0.0187562313,0.003031456,0.000241984279,0.00222011,0.9270215,0.008534968,0.00150478818,https://s3.amazonaws.com/100daysofspice/4_3_17/4_3_17___15.jpg,4_3_17
16,0.02144483,0.0122255627,0.0006501836,2.19241174e-05,0.00178644632,0.96207875,0.00143650989,0.00035581892,https://s3.amazonaws.com/100daysofspice/4_3_17/4_3_17___16.jpg,4_3_17
17,0.009495593,0.008212752,0.000182236181,1.27395633e-05,0.0015153226,0.979755759,0.000378919183,0.0004467025,https://s3.amazonaws.com/100daysofspice/4_3_17/4_3_17___17.jpg,4_3_17
18,0.09348027,0.0117922509,0.0009845041,3.746553e-05,0.0006099845,0.890883446,0.00174174574,0.000470359024,https://s3.amazonaws.com/100daysofspice/4_3_17/4_3_17___18.jpg,4_3_17
19,0.03432452,0.00676207058,0.00141442951,0.000108766209,0.00125572784,0.951621652,0.00382861262,0.0006842044,https://s3.amazonaws.com/100daysofspice/4_3_17/4_3_17___19.jpg,4_3_17
20,0.00377907348,0.000442411023,0.000277622079,0.000116729476,0.0004260976,0.987056553,0.00743830437,0.0004632132,https://s3.amazonaws.com/100daysofspice/4_3_17/4_3_17___20.jpg,4_3_17
21,0.09287552,0.0015541371,0.02732747,0.00115333288,7.788001e-05,0.799533367,0.0240363423,0.0534419641,https://s3.amazonaws.com/100daysofspice/4_3_17/4_3_17___21.jpg,4_3_17
22,0.00413689576,0.0003927752,0.000248547964,0.0001271116,8.95342e-05,0.9912292,0.00176764769,0.00200828258,https://s3.amazonaws.com/100daysofspice/4_3_17/4_3_17___22.jpg,4_3_17
23,0.00370107661,0.000236920285,0.0006686408,0.000152877386,0.000468412385,0.987086535,0.0021760494,0.005509489,https://s3.amazonaws.com/100daysofspice/4_3_17/4_3_17___23.jpg,4_3_17
24,0.009346791,0.0006580909,0.00232374645,0.000782342,0.000187317448,0.9694603,0.00509605,0.0121453386,https://s3.amazonaws.com/100daysofspice/4_3_17/4_3_17___24.jpg,4_3_17
25,0.000136069313,1.52434222e-05,4.45065734e-06,1.52518783e-06,2.98074556e-05,0.9996467,6.900262e-05,9.71587e-05,https://s3.amazonaws.com/100daysofspice/4_3_17/4_3_17___25.jpg,4_3_17
26,0.036429733,0.005938586,0.0434497148,0.00116963557,0.0005430857,0.8412804,0.03187513,0.03931371,https://s3.amazonaws.com/100daysofspice/4_3_17/4_3_17___26.jpg,4_3_17
27,0.223627433,0.00560848974,0.03494012,0.00411977,0.00030468803,0.589447,0.0126859015,0.12926656,https://s3.amazonaws.com/100daysofspice/4_3_17/4_3_17___27.jpg,4_3_17
28,0.00701626251,0.00216278271,0.00180165214,0.000232349455,0.006997766,0.968163967,0.0109661212,0.00265910639,https://s3.amazonaws.com/100daysofspice/4_3_17/4_3_17___28.jpg,4_3_17
29,0.00139166112,0.0003223769,0.00015012463,6.001198e-05,0.0008418358,0.992536843,0.00130380865,0.00339332316,https://s3.amazonaws.com/100daysofspice/4_3_17/4_3_17___29.jpg,4_3_17
30,0.00208689529,0.000199505419,0.000240016874,2.26187312e-05,0.0007130106,0.9933298,0.0028213514,0.0005868031,https://s3.amazonaws.com/100daysofspice/4_3_17/4_3_17___30.jpg,4_3_17
31,0.000859541062,0.0006804875,7.938451e-05,1.16236351e-05,0.000895962643,0.9960469,0.00111579883,0.0003103104,https://s3.amazonaws.com/100daysofspice/4_3_17/4_3_17___31.jpg,4_3_17
