frame_time,sean_anger,sean_contempt,sean_disgust,sean_fear,sean_happiness,sean_neutral,sean_sadness,sean_surprise,url,date
0,,,,,,,,,https://s3.amazonaws.com/100daysofspice/1_25_17/1_25_17___0.jpg,1_25_17
1,,,,,,,,,https://s3.amazonaws.com/100daysofspice/1_25_17/1_25_17___1.jpg,1_25_17
2,0.087768495,0.013166761,0.084978625,8.93E-05,0.029917082,0.7598853,0.006899504,0.017294942,https://s3.amazonaws.com/100daysofspice/1_25_17/1_25_17___2.jpg,1_25_17
3,0.002160711,0.00141483,0.000553318,1.12E-05,0.003176684,0.9479125,0.0446596,0.000111165,https://s3.amazonaws.com/100daysofspice/1_25_17/1_25_17___3.jpg,1_25_17
4,0.035036635,0.000928227,0.015253621,0.000213443,0.000163726,0.8603868,0.08396624,0.00405132,https://s3.amazonaws.com/100daysofspice/1_25_17/1_25_17___4.jpg,1_25_17
5,0.005645793,0.000508235,0.000894517,6.67E-06,3.22E-05,0.8410362,0.151831478,4.49E-05,https://s3.amazonaws.com/100daysofspice/1_25_17/1_25_17___5.jpg,1_25_17
6,0.085247196,0.004516639,0.017339611,0.000156057,0.000957382,0.8096402,0.001241518,0.080901384,https://s3.amazonaws.com/100daysofspice/1_25_17/1_25_17___6.jpg,1_25_17
7,0.003432601,0.000478391,0.000427371,2.53E-06,0.000497033,0.8987983,0.09632454,3.93E-05,https://s3.amazonaws.com/100daysofspice/1_25_17/1_25_17___7.jpg,1_25_17
8,0.016147314,0.011002651,0.001677422,8.32E-06,0.000401996,0.9690269,0.001206905,0.000528491,https://s3.amazonaws.com/100daysofspice/1_25_17/1_25_17___8.jpg,1_25_17
9,0.009103467,0.001575988,0.016024478,0.000135429,0.000417756,0.74896574,0.221590936,0.002186199,https://s3.amazonaws.com/100daysofspice/1_25_17/1_25_17___9.jpg,1_25_17
10,0.03382313,0.000698811,0.012917047,0.000120055,8.42E-05,0.800944746,0.1494413,0.001970737,https://s3.amazonaws.com/100daysofspice/1_25_17/1_25_17___10.jpg,1_25_17
11,0.09589384,0.002522681,0.013326428,0.00012143,0.000735497,0.7490207,0.000670944,0.137708515,https://s3.amazonaws.com/100daysofspice/1_25_17/1_25_17___11.jpg,1_25_17
12,0.287107676,0.0033052,0.028121356,0.000114724,0.000855295,0.525039732,0.000724957,0.15473105,https://s3.amazonaws.com/100daysofspice/1_25_17/1_25_17___12.jpg,1_25_17
13,0.001347928,0.000459917,0.000562057,5.26E-06,0.000544178,0.816270232,0.180775568,3.49E-05,https://s3.amazonaws.com/100daysofspice/1_25_17/1_25_17___13.jpg,1_25_17
14,0.186933309,0.003776859,0.02105719,9.18E-05,0.001000877,0.68220973,0.000693794,0.104236431,https://s3.amazonaws.com/100daysofspice/1_25_17/1_25_17___14.jpg,1_25_17
15,0.000763032,0.01089172,0.00199181,9.40E-06,0.717594266,0.262842655,0.000598707,0.005308372,https://s3.amazonaws.com/100daysofspice/1_25_17/1_25_17___15.jpg,1_25_17
16,0.000405923,0.055026606,0.000751885,1.98E-05,0.861123,0.07453205,0.007759592,0.000381169,https://s3.amazonaws.com/100daysofspice/1_25_17/1_25_17___16.jpg,1_25_17
17,0.010908607,0.142109349,0.017384091,0.000127784,0.232385054,0.5576247,0.001344446,0.03811598,https://s3.amazonaws.com/100daysofspice/1_25_17/1_25_17___17.jpg,1_25_17
18,0.07603161,0.009401337,0.049899828,0.002012176,0.01358337,0.73878485,0.088112205,0.022174614,https://s3.amazonaws.com/100daysofspice/1_25_17/1_25_17___18.jpg,1_25_17
19,0.00796192,0.017955132,0.021532744,0.000163095,0.2246878,0.697462,0.009270838,0.020966427,https://s3.amazonaws.com/100daysofspice/1_25_17/1_25_17___19.jpg,1_25_17
20,0.030515578,0.002205021,0.017284699,0.000753992,0.002690409,0.874349356,0.060501225,0.011699707,https://s3.amazonaws.com/100daysofspice/1_25_17/1_25_17___20.jpg,1_25_17
21,0.000396217,0.000163549,8.88E-05,5.70E-07,0.000687173,0.933620036,0.06503608,7.53E-06,https://s3.amazonaws.com/100daysofspice/1_25_17/1_25_17___21.jpg,1_25_17
22,0.001220322,9.78E-05,0.00026402,5.95E-07,6.69E-05,0.85238874,0.1459555,6.18E-06,https://s3.amazonaws.com/100daysofspice/1_25_17/1_25_17___22.jpg,1_25_17
23,0.000545721,7.53E-05,7.97E-05,5.03E-07,3.78E-05,0.9017502,0.097503886,6.98E-06,https://s3.amazonaws.com/100daysofspice/1_25_17/1_25_17___23.jpg,1_25_17
24,0.000908266,6.14E-05,0.000151463,7.54E-07,1.67E-05,0.8687247,0.130129561,7.12E-06,https://s3.amazonaws.com/100daysofspice/1_25_17/1_25_17___24.jpg,1_25_17
