frame_time,sean_anger,sean_contempt,sean_disgust,sean_fear,sean_happiness,sean_neutral,sean_sadness,sean_surprise,url,data
1,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___1.jpg,4_25_17
2,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___2.jpg,4_25_17
3,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___3.jpg,4_25_17
4,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___4.jpg,4_25_17
5,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___5.jpg,4_25_17
6,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___6.jpg,4_25_17
7,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___7.jpg,4_25_17
8,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___8.jpg,4_25_17
9,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___9.jpg,4_25_17
10,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___10.jpg,4_25_17
11,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___11.jpg,4_25_17
12,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___12.jpg,4_25_17
13,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___13.jpg,4_25_17
14,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___14.jpg,4_25_17
15,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___15.jpg,4_25_17
16,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___16.jpg,4_25_17
17,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___17.jpg,4_25_17
18,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___18.jpg,4_25_17
30,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___30.jpg,4_25_17
31,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___31.jpg,4_25_17
32,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___32.jpg,4_25_17
33,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___33.jpg,4_25_17
34,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___34.jpg,4_25_17
35,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___35.jpg,4_25_17
36,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___36.jpg,4_25_17
37,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___37.jpg,4_25_17
38,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___38.jpg,4_25_17
39,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___39.jpg,4_25_17
40,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___40.jpg,4_25_17
41,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___41.jpg,4_25_17
42,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___42.jpg,4_25_17
43,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___43.jpg,4_25_17
44,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___44.jpg,4_25_17
45,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___45.jpg,4_25_17
46,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___46.jpg,4_25_17
47,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___47.jpg,4_25_17
48,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___48.jpg,4_25_17
49,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___49.jpg,4_25_17
50,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___50.jpg,4_25_17
51,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___51.jpg,4_25_17
52,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___52.jpg,4_25_17
53,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___53.jpg,4_25_17
54,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___54.jpg,4_25_17
55,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___55.jpg,4_25_17
56,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___56.jpg,4_25_17
57,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___57.jpg,4_25_17
58,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___58.jpg,4_25_17
59,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___59.jpg,4_25_17
60,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___60.jpg,4_25_17
61,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___61.jpg,4_25_17
62,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___62.jpg,4_25_17
63,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___63.jpg,4_25_17
64,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___64.jpg,4_25_17
65,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___65.jpg,4_25_17
66,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___66.jpg,4_25_17
67,,,,,,,,,https://s3.amazonaws.com/100daysofspice/4_25_17/4_25_17___67.jpg,4_25_17
