frame_time,sean_anger,sean_contempt,sean_disgust,sean_fear,sean_happiness,sean_neutral,sean_sadness,sean_surprise,url,data
0,,,,,,,,,https://s3.amazonaws.com/100daysofspice/2_1_17/2_1_17___0.jpg,2_1_17
1,,,,,,,,,https://s3.amazonaws.com/100daysofspice/2_1_17/2_1_17___1.jpg,2_1_17
2,,,,,,,,,https://s3.amazonaws.com/100daysofspice/2_1_17/2_1_17___2.jpg,2_1_17
3,,,,,,,,,https://s3.amazonaws.com/100daysofspice/2_1_17/2_1_17___3.jpg,2_1_17
4,,,,,,,,,https://s3.amazonaws.com/100daysofspice/2_1_17/2_1_17___4.jpg,2_1_17
5,,,,,,,,,https://s3.amazonaws.com/100daysofspice/2_1_17/2_1_17___5.jpg,2_1_17
6,,,,,,,,,https://s3.amazonaws.com/100daysofspice/2_1_17/2_1_17___6.jpg,2_1_17
7,,,,,,,,,https://s3.amazonaws.com/100daysofspice/2_1_17/2_1_17___7.jpg,2_1_17
8,,,,,,,,,https://s3.amazonaws.com/100daysofspice/2_1_17/2_1_17___8.jpg,2_1_17
9,,,,,,,,,https://s3.amazonaws.com/100daysofspice/2_1_17/2_1_17___9.jpg,2_1_17
10,,,,,,,,,https://s3.amazonaws.com/100daysofspice/2_1_17/2_1_17___10.jpg,2_1_17
11,,,,,,,,,https://s3.amazonaws.com/100daysofspice/2_1_17/2_1_17___11.jpg,2_1_17
12,,,,,,,,,https://s3.amazonaws.com/100daysofspice/2_1_17/2_1_17___12.jpg,2_1_17
13,,,,,,,,,https://s3.amazonaws.com/100daysofspice/2_1_17/2_1_17___13.jpg,2_1_17
14,,,,,,,,,https://s3.amazonaws.com/100daysofspice/2_1_17/2_1_17___14.jpg,2_1_17
15,,,,,,,,,https://s3.amazonaws.com/100daysofspice/2_1_17/2_1_17___15.jpg,2_1_17
16,,,,,,,,,https://s3.amazonaws.com/100daysofspice/2_1_17/2_1_17___16.jpg,2_1_17
17,,,,,,,,,https://s3.amazonaws.com/100daysofspice/2_1_17/2_1_17___17.jpg,2_1_17
18,,,,,,,,,https://s3.amazonaws.com/100daysofspice/2_1_17/2_1_17___18.jpg,2_1_17
19,,,,,,,,,https://s3.amazonaws.com/100daysofspice/2_1_17/2_1_17___19.jpg,2_1_17
