frame_time,sean_anger,sean_contempt,sean_disgust,sean_fear,sean_happiness,sean_neutral,sean_sadness,sean_surprise,url,date
34,0.012159172,0.000458542,0.004887813,0.000244415,5.67E-05,0.9120315,0.055697024,0.01446483,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___34.jpg,1_24_17
35,0.014370595,0.000941285,0.005718709,0.000125857,0.000134244,0.768267155,0.209489629,0.000952551,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___35.jpg,1_24_17
36,0.012264089,0.00017367,0.003724801,2.11E-05,4.40E-05,0.9527911,0.028403638,0.002577611,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___36.jpg,1_24_17
37,0.014553818,0.001060214,8.04E-05,4.29E-06,4.91E-07,0.977959454,0.006267237,7.40E-05,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___37.jpg,1_24_17
38,0.036314596,0.001238246,0.017845433,0.000570632,0.000192535,0.717035353,0.224367574,0.002435598,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___38.jpg,1_24_17
39,0.001602083,0.000325495,0.000390591,3.27E-06,0.000183071,0.8683542,0.129061326,8.00E-05,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___39.jpg,1_24_17
40,0.00550055,0.004420251,0.003969484,0.000162294,0.000360486,0.973959267,0.004943831,0.006683826,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___40.jpg,1_24_17
41,0.0130681,0.005826097,0.007900801,8.45E-05,0.004656505,0.9413938,0.001714397,0.025355846,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___41.jpg,1_24_17
42,0.010704728,0.008463398,0.007978601,6.94E-05,0.004337973,0.952622354,0.001933158,0.013890386,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___42.jpg,1_24_17
43,0.011394094,0.002443545,0.002512275,0.000164986,9.80E-05,0.954952955,0.001776753,0.026657455,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___43.jpg,1_24_17
44,0.007738341,0.003904486,0.000622536,8.69E-05,5.79E-05,0.981975436,0.004203621,0.001410771,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___44.jpg,1_24_17
45,0.001043699,6.67E-05,0.000177932,6.30E-07,5.35E-05,0.8307728,0.167875543,9.19E-06,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___45.jpg,1_24_17
46,0.001882855,0.000320917,0.000465497,1.03E-05,0.000324751,0.882199347,0.114678323,0.000118009,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___46.jpg,1_24_17
47,0.000445933,5.44E-05,8.00E-05,2.31E-07,4.23E-05,0.8404353,0.158938691,3.10E-06,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___47.jpg,1_24_17
48,0.000322497,1.05E-05,1.44E-05,1.61E-08,7.84E-07,0.75691545,0.242735878,4.25E-07,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___48.jpg,1_24_17
49,0.08772651,0.01582328,0.036679946,0.001104501,0.000207351,0.7981129,0.010107409,0.05023806,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___49.jpg,1_24_17
