frame_time,sean_anger,sean_contempt,sean_disgust,sean_fear,sean_happiness,sean_neutral,sean_sadness,sean_surprise,url,data
0,,,,,,,,,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___0.jpg,2_23_17
1,,,,,,,,,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___1.jpg,2_23_17
2,,,,,,,,,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___2.jpg,2_23_17
3,0.001920335,0.00373180537,0.0027840354,8.32291262e-05,0.789261937,0.195788354,0.005218409,0.0012119062,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___3.jpg,2_23_17
4,0.000429697422,4.108866e-05,5.4199907e-05,1.00326076e-06,0.98849833,0.0102448752,0.000438670017,0.0002921119,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___4.jpg,2_23_17
5,0.0004929074,0.00028256746,0.0009355684,5.96515247e-06,0.9439216,0.04878321,0.00549636036,8.18150438e-05,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___5.jpg,2_23_17
6,0.000701464945,6.658634e-05,0.000936037453,1.08795189e-06,0.9966515,0.00129835028,0.000220461079,0.000124525948,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___6.jpg,2_23_17
7,4.897061e-05,0.0003779894,0.000233930259,5.56411734e-08,0.9973936,0.00180729118,2.18207042e-05,0.000116310795,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___7.jpg,2_23_17
8,9.9688755e-08,3.61039638e-05,4.296635e-06,5.882407e-11,0.9999018,5.74390178e-05,2.07197758e-07,8.390761e-08,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___8.jpg,2_23_17
9,1.35457725e-08,1.08316235e-05,1.8109954e-06,2.32720288e-12,0.9999809,6.36819e-06,2.14830411e-08,1.6156541e-08,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___9.jpg,2_23_17
10,2.554596e-05,0.000599792751,0.000172254033,5.110892e-08,0.9782762,0.0206950419,8.89879739e-05,0.000142138117,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___10.jpg,2_23_17
11,2.54603938e-09,1.43598877e-09,5.2005344e-08,7.49838e-14,0.9999999,4.09086276e-08,1.06282994e-09,1.10522735e-09,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___11.jpg,2_23_17
12,5.382273e-08,9.341588e-07,1.00928892e-05,3.95652348e-12,0.999963641,2.32195689e-05,2.63704631e-08,2.01835064e-06,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___12.jpg,2_23_17
13,2.813601e-08,2.68493513e-05,7.675404e-07,2.56421412e-11,0.999902368,6.962146e-05,2.04653531e-07,1.62285048e-07,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___13.jpg,2_23_17
14,1.77500223e-10,1.77012016e-10,5.549491e-09,1.98953619e-13,1.0,6.68095357e-09,1.48009216e-09,1.74737091e-09,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___14.jpg,2_23_17
15,0.00351149426,0.003997125,0.00731905038,3.97264e-05,0.5588463,0.397571445,0.001833137,0.02688173,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___15.jpg,2_23_17
16,6.869514e-05,0.0254319347,0.000290011667,1.5757995e-06,0.647295535,0.326124132,0.0003317487,0.00045634553,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___16.jpg,2_23_17
17,0.00110883,0.0282899067,0.00263428618,4.29226156e-06,0.925091565,0.03842726,0.000656536664,0.003787321,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___17.jpg,2_23_17
18,0.0005674493,0.040941596,0.00169547577,1.50128617e-05,0.5265191,0.4271411,0.00109952991,0.00202075252,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___18.jpg,2_23_17
19,7.981654e-05,0.000281795219,0.000451327272,1.09437542e-06,0.9845404,0.0130516756,0.00075902947,0.0008348672,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___19.jpg,2_23_17
20,1.72849809e-06,9.364535e-05,4.74538065e-05,1.379266e-08,0.9991453,0.000656171236,3.35416225e-05,2.20927486e-05,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___20.jpg,2_23_17
21,2.35847783e-05,0.0009561164,0.00032550827,2.09074528e-07,0.9826243,0.0158492327,0.00016620454,5.48556054e-05,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___21.jpg,2_23_17
22,2.21512683e-10,2.458076e-09,2.09896278e-08,9.050152e-15,0.99999994,2.5981592e-08,1.73551867e-10,1.40213041e-09,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___22.jpg,2_23_17
23,3.36707285e-06,8.127417e-05,2.22107337e-05,1.03109041e-08,0.9989652,0.0008626516,6.12629e-05,3.999154e-06,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___23.jpg,2_23_17
24,0.000662134436,0.00132773945,0.00213634851,1.500186e-05,0.9281398,0.05541872,0.0119781,0.000322129083,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___24.jpg,2_23_17
25,0.000241777117,0.001335753,0.0005191425,3.69263876e-06,0.9540669,0.0407576375,0.002531456,0.0005436853,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___25.jpg,2_23_17
26,8.685875e-05,0.007936407,0.00030356145,6.692509e-08,0.294429719,0.6971222,8.999484e-05,3.116861e-05,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___26.jpg,2_23_17
27,0.00662438,0.0134617174,0.00832094252,0.000490648963,0.111608215,0.8312639,0.02224482,0.00598536525,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___27.jpg,2_23_17
28,0.00157565635,0.00427380344,0.00122217741,0.000104113489,0.0221422482,0.897731066,0.0718567446,0.00109419855,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___28.jpg,2_23_17
29,0.0004906716,0.00493919756,0.000584855967,3.267055e-05,0.041654557,0.8922732,0.0594724827,0.0005523971,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___29.jpg,2_23_17
30,0.00366703281,0.00130927889,0.005949775,0.000272523583,0.00130179361,0.8700482,0.11238689,0.0050644977,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___30.jpg,2_23_17
31,0.0282234941,0.001683147,0.02935854,0.000189911589,0.001076875,0.852172136,0.08333422,0.003961706,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___31.jpg,2_23_17
32,0.00554648461,0.00294877682,0.00312457257,0.000172997446,0.0007960828,0.871692955,0.113586426,0.00213167979,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___32.jpg,2_23_17
33,0.00168865256,0.000890215568,0.00192182255,1.09962693e-05,0.00075845723,0.7750162,0.219658479,5.51980156e-05,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___33.jpg,2_23_17
34,0.0264699068,0.00303343986,0.0173999462,0.000165469333,0.00362642738,0.9179461,0.0221206751,0.00923802,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___34.jpg,2_23_17
35,0.0155438632,0.00161904353,0.0122779049,0.000279068161,0.000691674533,0.9254098,0.0226510037,0.021527648,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___35.jpg,2_23_17
36,0.00218150788,0.0007641581,0.00257941242,0.000119255346,0.00075623556,0.887746453,0.101715855,0.00413712626,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___36.jpg,2_23_17
37,0.0071085426,0.00159344717,0.005606982,9.747298e-05,0.00027460407,0.7729803,0.211254343,0.00108435389,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___37.jpg,2_23_17
38,0.00155609,0.00115609239,0.000867786061,1.05407153e-05,0.000333960139,0.8429578,0.1529962,0.000121519341,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___38.jpg,2_23_17
39,0.008892776,0.000619085564,0.005935736,6.031326e-05,0.00025897217,0.9251567,0.0537131727,0.00536321662,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___39.jpg,2_23_17
40,0.02429348,0.00148034957,0.0121322516,1.75393434e-05,0.0005143317,0.9500354,0.00490025058,0.006626392,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___40.jpg,2_23_17
41,0.00331323757,0.004044717,0.00147585245,4.923469e-05,0.001440117,0.980902255,0.00273781316,0.00603679242,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___41.jpg,2_23_17
42,0.00103189144,0.000508372963,0.000398593664,1.41822227e-06,6.325123e-05,0.812382758,0.185597047,1.66622467e-05,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___42.jpg,2_23_17
43,0.000945874548,0.000177275637,0.000240653564,1.32600837e-06,0.000106050931,0.926052,0.0724424645,3.4397206e-05,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___43.jpg,2_23_17
44,0.00068645,0.000163803,0.000608094851,1.19122678e-05,6.06198846e-05,0.874058545,0.124046154,0.000364428328,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___44.jpg,2_23_17
45,0.0007403519,0.000192784544,0.0005891499,6.26326073e-06,5.50463847e-05,0.9197285,0.0783965662,0.000291311764,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___45.jpg,2_23_17
46,0.0004906051,0.000320689171,0.000232413833,1.80197151e-06,0.000469103048,0.8823362,0.116126493,2.27035052e-05,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___46.jpg,2_23_17
47,0.0552331619,0.00633631,0.02185238,0.000268150819,0.00243820553,0.8635003,0.00356497336,0.0468065366,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___47.jpg,2_23_17
48,0.0288019869,0.00267534074,0.03333536,0.000224481919,0.00104018988,0.8905319,0.0401233621,0.00326739065,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___48.jpg,2_23_17
49,0.07328086,0.001546425,0.0264489744,0.000215072316,0.0003510191,0.821595967,0.0702536851,0.00630799728,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___49.jpg,2_23_17
50,0.00124491227,0.00112407759,0.00208557141,4.563677e-05,0.00203448278,0.809821546,0.18311438,0.000529405137,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___50.jpg,2_23_17
51,0.00106446643,0.000413772766,0.00072205317,1.10217925e-05,0.0009676672,0.855196834,0.141453549,0.000170609026,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___51.jpg,2_23_17
52,0.00625966769,0.000779530965,0.006422262,0.00015940443,0.0005024158,0.767516136,0.21476014,0.0036004195,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___52.jpg,2_23_17
53,0.00312571786,5.388753e-05,0.000608973263,8.208138e-06,3.970932e-05,0.853482544,0.142601326,7.964334e-05,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___53.jpg,2_23_17
54,0.001975189,0.000121141966,0.000684809638,2.11710585e-06,9.062213e-06,0.702860653,0.2943273,1.973884e-05,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___54.jpg,2_23_17
55,0.0103195757,0.000520942,0.00584703172,3.06341062e-05,0.000914579839,0.850737333,0.131087884,0.0005420247,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___55.jpg,2_23_17
56,0.00706353132,9.362809e-05,0.001247589,6.57879127e-06,3.4755185e-06,0.777811468,0.213691413,8.230782e-05,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___56.jpg,2_23_17
57,0.0104521774,0.0005575613,0.00630457839,5.737587e-05,0.000443503581,0.9079762,0.07308234,0.00112622743,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___57.jpg,2_23_17
58,0.0100012142,0.0005399036,0.00448958063,9.030149e-05,5.30232719e-05,0.7579511,0.225863576,0.0010113446,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___58.jpg,2_23_17
59,0.001464245,0.000820017653,0.001618186,3.037263e-05,0.00136758864,0.8908584,0.102649741,0.00119144039,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___59.jpg,2_23_17
60,0.00330447545,0.000355218159,0.00168020965,2.71893659e-05,0.000118947326,0.8568159,0.137084126,0.0006139879,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___60.jpg,2_23_17
61,0.00285235955,0.000362198567,0.0029983148,5.83723777e-05,0.000679406046,0.852149546,0.140005827,0.000893963967,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___61.jpg,2_23_17
62,0.009234418,0.000524822448,0.00479420368,0.00014199366,5.13538653e-05,0.8968779,0.08468369,0.00369162438,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___62.jpg,2_23_17
63,0.0182259735,0.000540060457,0.007876752,0.000129246182,0.00022452134,0.8861672,0.08245045,0.004385754,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___63.jpg,2_23_17
64,0.008068162,0.000593713834,0.00362829817,6.580515e-05,0.0003205957,0.859088957,0.127333432,0.000901035033,https://s3.amazonaws.com/100daysofspice/2_23_17/2_23_17___64.jpg,2_23_17
