frame_time,sean_anger,sean_contempt,sean_disgust,sean_fear,sean_happiness,sean_neutral,sean_sadness,sean_surprise,url,date
34,0.007452528,0.002354661,0.002977958,0.000434581,0.000493475,0.859110355,0.002062085,0.125114366,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___34.jpg,1_23_17
35,0.003299483,0.000462687,0.001934818,1.94E-05,0.00065835,0.857103169,0.13620393,0.000318177,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___35.jpg,1_23_17
36,0.002152302,0.000533122,0.001508168,8.30E-06,6.60E-05,0.657682538,0.337964326,8.53E-05,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___36.jpg,1_23_17
37,0.00100862,7.89E-05,0.000271217,6.20E-07,7.44E-06,0.763890147,0.234730721,1.23E-05,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___37.jpg,1_23_17
38,0.339296371,0.003570179,0.030474357,0.000299106,0.000273664,0.4408137,0.001123829,0.184148818,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___38.jpg,1_23_17
39,0.06775526,0.007447646,0.017326886,0.000343744,0.000221402,0.826724,0.004670068,0.075511016,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___39.jpg,1_23_17
40,0.023908913,0.000400347,0.01508355,0.000247582,3.77E-05,0.7242407,0.2304772,0.005603964,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___40.jpg,1_23_17
41,0.004175228,0.000143572,0.000608969,5.55E-07,2.24E-06,0.6819497,0.313115656,4.10E-06,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___41.jpg,1_23_17
42,0.001551026,0.000212993,0.000482111,1.74E-06,2.74E-05,0.8317051,0.165977657,4.20E-05,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___42.jpg,1_23_17
43,0.023254354,0.001127107,0.01656074,0.000618352,0.000173582,0.8067221,0.145573467,0.005970316,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___43.jpg,1_23_17
44,0.007282221,0.000168339,0.003760568,4.10E-05,4.99E-05,0.8908675,0.097271815,0.000558734,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___44.jpg,1_23_17
45,0.020403428,0.001148202,0.013397903,0.000202456,2.68E-05,0.8623468,0.09162408,0.010850304,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___45.jpg,1_23_17
46,0.000346935,0.000203882,0.00013521,5.84E-07,0.000228556,0.898894548,0.100179277,1.10E-05,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___46.jpg,1_23_17
47,0.141741127,0.002712618,0.093585685,0.005592716,0.00394966,0.376923263,0.373536617,0.001958336,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___47.jpg,1_23_17
48,0.000673884,7.08E-05,0.000144267,5.98E-08,1.24E-05,0.610721946,0.388376236,4.48E-07,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___48.jpg,1_23_17
49,0.012816603,0.000459915,0.005360516,4.59E-05,6.11E-06,0.6945855,0.286105573,0.000619877,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___49.jpg,1_23_17
50,0.001000358,0.000134003,0.000291291,3.28E-07,1.01E-05,0.6293762,0.369184732,3.01E-06,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___50.jpg,1_23_17
51,0.003234651,0.001553729,0.002213673,4.13E-05,0.002068385,0.7159932,0.2747148,0.00018026,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___51.jpg,1_23_17
52,0.052144043,0.001036974,0.017217416,0.000433001,3.52E-05,0.7970882,0.126756132,0.00528898,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___52.jpg,1_23_17
53,0.017829457,0.003800374,0.002477149,0.000904691,8.48E-05,0.9390663,0.011213617,0.024623664,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___53.jpg,1_23_17
54,0.000932199,0.000185465,0.001057772,6.09E-06,5.29E-05,0.5990502,0.398649544,6.58E-05,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___54.jpg,1_23_17
55,0.000774301,4.75E-05,0.000485491,7.42E-06,9.37E-05,0.841880739,0.156426951,0.000283864,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___55.jpg,1_23_17
